hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
2135,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-745.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2136,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-760.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2137,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-755.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2138,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-740.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2139,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-755.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2140,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-740.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2141,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-755.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2142,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-760.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2143,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-775.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2144,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-770.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
2145,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-755.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2146,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-750.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
2147,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-735.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2148,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-740.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2149,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-735.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2150,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-720.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2151,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-715.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
2152,j,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-725.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2153,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-730.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2154,j,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-740.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2155,j,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-750.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2156,j,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-760.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2157,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-745.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2158,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-750.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2159,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-765.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2160,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-750.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
