hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
2448,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2670.0,15.0,p1,fold,False,2,140.0,145.0,rock
2449,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2685.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2450,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2695.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2451,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2690.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2452,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2685.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2453,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2680.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2454,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2685.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2455,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2680.0,15.0,p1,fold,False,2,140.0,145.0,rock
2456,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2675.0,20.0,p1,fold,False,2,135.0,145.0,rock
2457,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2680.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2458,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2695.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2459,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2690.0,20.0,p1,fold,False,2,135.0,145.0,rock
2460,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2685.0,20.0,p1,fold,False,2,135.0,145.0,rock
2461,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2680.0,20.0,p1,fold,False,2,135.0,145.0,rock
2462,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2695.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2463,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2690.0,20.0,p1,fold,False,2,135.0,145.0,rock
2464,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2700.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2465,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2695.0,20.0,p1,fold,False,2,135.0,145.0,rock
2466,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2690.0,15.0,p1,fold,False,2,140.0,145.0,rock
2467,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2685.0,20.0,p1,fold,False,2,135.0,145.0,rock
2468,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2690.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2469,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2685.0,15.0,p1,fold,False,2,140.0,145.0,rock
