hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
42,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,185.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
43,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,190.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
44,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,185.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
45,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,180.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
46,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,185.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
47,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,180.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
48,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,175.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
49,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,170.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
50,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,175.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
51,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,190.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
52,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,195.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
53,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,210.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
54,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,205.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
55,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,210.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
56,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,205.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
57,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,200.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
58,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,195.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
59,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,210.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
60,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,225.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
61,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,220.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
62,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,225.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
63,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,240.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
64,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,235.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
65,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,230.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
66,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,245.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
67,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,260.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
68,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,275.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
69,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,280.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
70,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,275.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
71,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,270.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
72,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,285.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
73,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,290.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
74,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,285.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
